MSOA21CD/E02001130	Holt Lane End & Bardsley
MSOA21CD/E02001138	Norden East & Bagslate Moor
MSOA21CD/E02001147	Balderstone & Kirkholt
MSOA21CD/E02001166	Broughton Park
MSOA21CD/E02001169	Ellenbrook & Boothstown
MSOA21CD/E02001173	Cromwell Road & Broad Street
MSOA21CD/E02001182	Barton upon Irwell
MSOA21CD/E02001190	Brinnington
MSOA21CD/E02001195	Bredbury
MSOA21CD/E02001198	Bredbury Green
MSOA21CD/E02001207	Offerton East & Bosden Farm
MSOA21CD/E02001218	Bramhall North West
MSOA21CD/E02001223	Bramhall North East
MSOA21CD/E02001227	Bramhall West
MSOA21CD/E02001228	Bramhall South & Woodford
MSOA21CD/E02001251	Mottram, Hollingworth & Broadbottom
MSOA21CD/E02001277	Broadheath & Firsway
MSOA21CD/E02001285	Bowdon
MSOA21CD/E02001291	Beech Hill
MSOA21CD/E02001292	Wigan Marylebone & Bottling Wood
MSOA21CD/E02001312	Abram & Bickershaw
MSOA21CD/E02001315	Astley, Blackmoor & Mosley Common
MSOA21CD/E02001337	Mosscroft & Bakers Green
MSOA21CD/E02001380	Broad Green
MSOA21CD/E02001386	Belle Vale
MSOA21CD/E02001407	Billinge
MSOA21CD/E02001413	Blackbrook
MSOA21CD/E02001416	Broad Oak
MSOA21CD/E02001427	Bold & Clock Face
MSOA21CD/E02001437	Birkdale
MSOA21CD/E02001450	Blundellsands
MSOA21CD/E02001456	Brighton le Sands & Crosby West
MSOA21CD/E02001464	Bootle North
MSOA21CD/E02001465	Bootle South
MSOA21CD/E02001466	Bootle East
MSOA21CD/E02001477	Bidston Hill
MSOA21CD/E02001482	Birkenhead Central
MSOA21CD/E02001487	Birkenhead South
MSOA21CD/E02001497	Bebington New Ferry
MSOA21CD/E02001502	Lower Bebington & Bromborough Pool
MSOA21CD/E02001505	Bromborough North
MSOA21CD/E02001507	Bromborough South
MSOA21CD/E02001514	Grimethorpe & Brierley
MSOA21CD/E02001520	Wilthorpe & Barugh Green
MSOA21CD/E02001521	Barnsley Town & Park Road
MSOA21CD/E02001533	Bolton-upon-Dearne
MSOA21CD/E02001536	Birdwell
MSOA21CD/E02001545	Kirk Sandall & Barnby Dun
MSOA21CD/E02001548	Bentley & Toll Bar
MSOA21CD/E02001551	Bentley Rise
MSOA21CD/E02001557	Belle Vue & Town Fields
MSOA21CD/E02001561	Hexthorpe & Balby North
MSOA21CD/E02001563	Bessacarr Bawtry Road
MSOA21CD/E02001565	Bessacarr Grange & Lakeside
MSOA21CD/E02001566	Balby Carr
MSOA21CD/E02001567	Balby South
MSOA21CD/E02001571	Warmsworth, Braithwell & Stainton
MSOA21CD/E02001576	Bawtry, Austerfield & Hayfield
MSOA21CD/E02001578	Brampton & West Melton
MSOA21CD/E02001589	Ravenfield & Bramley North
MSOA21CD/E02001593	Masbrough & Bradgate
MSOA21CD/E02001602	Brinsworth
MSOA21CD/E02001612	Deepcar & Bolsterstone
MSOA21CD/E02001613	High Green & Burncross
MSOA21CD/E02001618	Oughtibridge & Bradfield
MSOA21CD/E02001624	Brightside & Wincobank
MSOA21CD/E02001632	Burngreave & Grimesthorpe
MSOA21CD/E02001640	Broomhill & Lower Crookesmoor
MSOA21CD/E02001646	Broomhall
MSOA21CD/E02001656	Brincliffe & Sharrow Vale
MSOA21CD/E02001665	Bents Green & Millhouses
MSOA21CD/E02001666	Beighton
MSOA21CD/E02001672	Charnock & Basegreen
MSOA21CD/E02001676	Beauchief
MSOA21CD/E02001680	Batemoor & Jordanthorpe
MSOA21CD/E02001681	Totley & Bradway
MSOA21CD/E02001684	Pelaw, Felling Shore & Bill Quay
MSOA21CD/E02001685	Blaydon South
MSOA21CD/E02001686	Blaydon North & Winlaton Mill
MSOA21CD/E02001689	Bensham North
MSOA21CD/E02001691	Bensham South & Saltwell
MSOA21CD/E02001702	Beacon Lough & Wrekenton
MSOA21CD/E02001706	Birtley North & Kibblesworth
MSOA21CD/E02001707	Birtley South
MSOA21CD/E02001718	Blakelaw
MSOA21CD/E02001725	Heaton South & Byker North
MSOA21CD/E02001734	Benwell
MSOA21CD/E02001755	Holystone & Benton
MSOA21CD/E02001758	Battle Hill East
MSOA21CD/E02001761	Battle Hill West
MSOA21CD/E02001781	Brockley Whins
MSOA21CD/E02001783	Biddick Hill
MSOA21CD/E02001788	Boldon Colliery
MSOA21CD/E02001807	Columbia, Barmston & Teal Farm
MSOA21CD/E02001808	Barnes Park
MSOA21CD/E02001809	Washington Town Centre & Biddick
MSOA21CD/E02001856	Brookvale
MSOA21CD/E02001859	Birchfield East
MSOA21CD/E02001861	Birchfield West
MSOA21CD/E02001870	Ward End & Bromford West
MSOA21CD/E02001871	Buckland End
MSOA21CD/E02001881	Belchers Lane & Eastfield Road
MSOA21CD/E02001884	Bordesley Green North
MSOA21CD/E02001909	Balsall Heath East
MSOA21CD/E02001910	Balsall Heath West & Kingswood Road
MSOA21CD/E02001932	Bartley Green & Shenley Fields
MSOA21CD/E02001936	Brandwood North
MSOA21CD/E02001937	Billesley Common
MSOA21CD/E02001938	Bournville East & Stirchley West
MSOA21CD/E02001939	Bournville West
MSOA21CD/E02001943	Brandwood East
MSOA21CD/E02001944	Brandwood End
MSOA21CD/E02001961	Bell Green
MSOA21CD/E02001967	Brownshill Green
MSOA21CD/E02001977	Naul's Mill & Bishopsgate Green
MSOA21CD/E02001978	Barras Heath
MSOA21CD/E02001990	Binley
MSOA21CD/E02002016	Brockmoor & Woodside
MSOA21CD/E02002020	Wordsley & Buckpool
MSOA21CD/E02002021	Brierley Hill
MSOA21CD/E02002075	Blackheath
MSOA21CD/E02002076	Bearwood & Warley Woods
MSOA21CD/E02002079	Brandhall
MSOA21CD/E02002102	Blossomfield
MSOA21CD/E02002105	Balsall Common
MSOA21CD/E02002110	Brownhills West & Clayhanger
MSOA21CD/E02002111	Brownhills
MSOA21CD/E02002117	Bloxwich Central & North
MSOA21CD/E02002118	Bloxwich North West
MSOA21CD/E02002121	Blakenall North
MSOA21CD/E02002122	Blakenall South
MSOA21CD/E02002126	Bloxwich South
MSOA21CD/E02002132	Bentley
MSOA21CD/E02002149	Bushbury
MSOA21CD/E02002152	Bushbury Hill
MSOA21CD/E02002170	Bilston North West
MSOA21CD/E02002171	Bilston North East
MSOA21CD/E02002174	Bradmore
MSOA21CD/E02002175	Bilston Lunt & Loxdale
MSOA21CD/E02002181	Bradley
MSOA21CD/E02002184	Ilkley & Ben Rhydding
MSOA21CD/E02002185	Burley-in-Wharfedale
MSOA21CD/E02002187	Menston & Burley Moor
MSOA21CD/E02002195	Baildon North
MSOA21CD/E02002197	Bingley Town
MSOA21CD/E02002198	Baildon South
MSOA21CD/E02002200	Saltaire & Baildon West
MSOA21CD/E02002206	Wrose & Bolton Woods
MSOA21CD/E02002210	Bolton Road & Kings Road
MSOA21CD/E02002223	Brown Royd
MSOA21CD/E02002224	Barkerend East
MSOA21CD/E02002227	Broomfields & East Bowling
MSOA21CD/E02002228	Laisterdyke & Bowling
MSOA21CD/E02002232	Great Horton & Brackenhill
MSOA21CD/E02002235	Bowling Park
MSOA21CD/E02002238	Bankfoot
MSOA21CD/E02002239	Bierley & Tong
MSOA21CD/E02002241	Buttershaw
MSOA21CD/E02002251	Central Halifax & Boothtown
MSOA21CD/E02002258	Clifton & Bailiff Bridge
MSOA21CD/E02002262	Brighouse
MSOA21CD/E02002270	Ripponden, Rishworth & Barkisland
MSOA21CD/E02002271	Birkenshaw
MSOA21CD/E02002272	Birstall
MSOA21CD/E02002276	Wilton Park, Carlinghow & Brookroyd
MSOA21CD/E02002280	Batley Central
MSOA21CD/E02002283	Batley Carr & Mount Pleasant
MSOA21CD/E02002291	Battyeford
MSOA21CD/E02002292	Bradley & North Fixby
MSOA21CD/E02002295	Deighton & Brackenhall
MSOA21CD/E02002300	North Lindley & Birchencliffe
MSOA21CD/E02002301	Birkby
MSOA21CD/E02002318	Primrose Hill, Newsome & Berry Brow
MSOA21CD/E02002323	Honley & Brockholes
MSOA21CD/E02002334	Boston Spa & Bramham
MSOA21CD/E02002336	Bramhope & Pool-in-Wharfedale
MSOA21CD/E02002359	Aberford, Barwick & Thorner
MSOA21CD/E02002375	Bramley Fall
MSOA21CD/E02002380	Bramley Park North
MSOA21CD/E02002385	Burley
MSOA21CD/E02002387	Bramley Park South
MSOA21CD/E02002388	Bramley East
MSOA21CD/E02002394	Burmantofts
MSOA21CD/E02002396	Bramley South & Upper Armley
MSOA21CD/E02002414	Beeston Hill & Hunslet Moor
MSOA21CD/E02002419	Beeston West & Cottingley
MSOA21CD/E02002420	Beeston East
MSOA21CD/E02002421	Belle Isle North
MSOA21CD/E02002423	Belle Isle South
MSOA21CD/E02002444	Stanley, Moorhouse & Bottomboat
MSOA21CD/E02002467	Agbrigg & Belle Isle
MSOA21CD/E02002475	Walton, Woolley & Bretton
MSOA21CD/E02002497	North Ormesby & Brambles
MSOA21CD/E02002499	Berwick Hills
MSOA21CD/E02002506	Beechwood & James Cook
MSOA21CD/E02002524	Brotton
MSOA21CD/E02002529	Bankfields
MSOA21CD/E02002530	Boosbeck, Lingdale & Easington
MSOA21CD/E02002535	Billingham North & Wolviston
MSOA21CD/E02002536	Billingham Central
MSOA21CD/E02002537	Billingham East & Haverton Hill
MSOA21CD/E02002538	Billingham South
MSOA21CD/E02002539	Billingham West, Stillington & Longnewton
MSOA21CD/E02002545	Rimswell & Bishopsgarth
MSOA21CD/E02002570	Bank Top
MSOA21CD/E02002588	Halton Lea & Brookvale
MSOA21CD/E02002589	Beechwood & Heath
MSOA21CD/E02002592	Winwick & Burtonwood
MSOA21CD/E02002597	Blackbrook
MSOA21CD/E02002602	Bewsey & Dallam
MSOA21CD/E02002615	Roe Lee, Brownhill & Sunnybower
MSOA21CD/E02002618	Bastwell
MSOA21CD/E02002624	Beardwood, Pleasington & Livesey
MSOA21CD/E02002635	Norbreck & Bispham
MSOA21CD/E02002636	Warbreck & Bispham Road
MSOA21CD/E02002653	Bransholme Central
MSOA21CD/E02002655	Bransholme East
MSOA21CD/E02002657	Bransholme West
MSOA21CD/E02002660	Bilton Grange
MSOA21CD/E02002665	Bricknell East
MSOA21CD/E02002670	Bricknell West
MSOA21CD/E02002681	Boulevard & St Andrew's Quay
MSOA21CD/E02002684	Bridlington North & Bempton
MSOA21CD/E02002685	Bridlington East & Flamborough
MSOA21CD/E02002686	Bridlington West
MSOA21CD/E02002687	Bridlington Central
MSOA21CD/E02002688	Bridlington Hilderthorpe
MSOA21CD/E02002689	Burton Agnes, Rudston & Langtoft
MSOA21CD/E02002693	Skipsea, Beeford & Brandesburton
MSOA21CD/E02002700	Beverley North
MSOA21CD/E02002701	Holme, Melbourne & Bubwith
MSOA21CD/E02002702	Beverley South
MSOA21CD/E02002703	Walkington, Bishop Burton & Woodmansey
MSOA21CD/E02002715	Brough
MSOA21CD/E02002716	Burstwick & Thorngumbald
MSOA21CD/E02002749	Barton upon Humber
MSOA21CD/E02002750	Goxhill, Barrow & New Holland
MSOA21CD/E02002752	Barnetby, Ulceby & Killingholme
MSOA21CD/E02002753	Burton upon Stather, Alkborough & Gunness
MSOA21CD/E02002759	Brigg & South Ferriby
MSOA21CD/E02002761	Broughton & Appleby
MSOA21CD/E02002768	Epworth & Bracon
MSOA21CD/E02002795	Bishopthorpe & Copmanthorpe
MSOA21CD/E02002799	Breadsall Hilltop
MSOA21CD/E02002823	Boulton
MSOA21CD/E02002827	Beaumont Park
MSOA21CD/E02002830	Bradgate Heights & Beaumont Leys
MSOA21CD/E02002832	Belgrave North West
MSOA21CD/E02002833	Belgrave North East
MSOA21CD/E02002836	Belgrave South
MSOA21CD/E02002852	Braunstone Park West
MSOA21CD/E02002854	Braunstone Park East
MSOA21CD/E02002867	Uppingham, Lyddington & Braunston
MSOA21CD/E02002869	Bulwell North
MSOA21CD/E02002872	Bulwell West
MSOA21CD/E02002873	Bestwood
MSOA21CD/E02002875	Basford Park Lane
MSOA21CD/E02002878	Broxtowe & Cinderhill
MSOA21CD/E02002881	Bilborough North
MSOA21CD/E02002886	Bobbers Mill
MSOA21CD/E02002887	Beechdale
MSOA21CD/E02002891	Bakersfield
MSOA21CD/E02002892	Bilborough South
MSOA21CD/E02002905	Wigmore, Orleton & Brimfield
MSOA21CD/E02002908	Shobdon, Luston & Bodenham
MSOA21CD/E02002909	Bromyard & Bishop's Frome
MSOA21CD/E02002920	Belmont, Madley & Clehonger
MSOA21CD/E02002947	Brookside
MSOA21CD/E02002953	Bradeley & Chell Heath
MSOA21CD/E02002957	Baddley & Milton
MSOA21CD/E02002959	Longport & Burslem Park
MSOA21CD/E02002960	Birches Head
MSOA21CD/E02002967	Bentilee & Ubberley
MSOA21CD/E02002968	Basford & Hartshill
MSOA21CD/E02002969	Boothen & Penkhull
MSOA21CD/E02002976	Hollybush & Blurton North
MSOA21CD/E02002982	Newstead & Blurton South
MSOA21CD/E02002994	Bathavon North & South
MSOA21CD/E02002996	Widcombe, Bathwick Hill & Claverton Down
MSOA21CD/E02003001	Bloomfield
MSOA21CD/E02003005	Chew, Bishop Sutton & East Harptree
MSOA21CD/E02003006	Peasedown & Bathavon West
MSOA21CD/E02003012	Henbury & Brentry
MSOA21CD/E02003027	Bishopston
MSOA21CD/E02003049	Broom Hill
MSOA21CD/E02003050	Bedminster
MSOA21CD/E02003054	Brislington
MSOA21CD/E02003057	Bishopsworth
MSOA21CD/E02003075	Backwell & Flax Bourton
MSOA21CD/E02003087	Hutton, Locking & Banwell
MSOA21CD/E02003088	Winscombe, Langford & Blagdon
MSOA21CD/E02003098	Bradley Stoke North East
MSOA21CD/E02003101	Bradley Stoke Central
MSOA21CD/E02003118	Cadbury Heath North & Bridgeyate
MSOA21CD/E02003132	Ham, Beacon Park & Pennycross
MSOA21CD/E02003141	Ford & Blockhouse Park
MSOA21CD/E02003148	City Centre, Barbican & Sutton Harbour
MSOA21CD/E02003158	Babbacombe & Plainmoor
MSOA21CD/E02003166	Blatchcombe & Blagdon
MSOA21CD/E02003170	Brixham Town
MSOA21CD/E02003183	Talbot & Branksome Woods
MSOA21CD/E02003187	Boscombe East
MSOA21CD/E02003190	Boscombe West
MSOA21CD/E02003195	Bearwood
MSOA21CD/E02003196	Broadstone
MSOA21CD/E02003202	Branksome East
MSOA21CD/E02003203	Branksome West
MSOA21CD/E02003211	Branksome Park, Canford Cliffs & Sandbanks
MSOA21CD/E02003219	Broad Blunsdon, South Marston & Wanborough
MSOA21CD/E02003240	Barnack, Wittering & Wansford
MSOA21CD/E02003246	Millfield & Bourges Boulevard
MSOA21CD/E02003247	Bretton Park
MSOA21CD/E02003258	Bramingham
MSOA21CD/E02003264	Barnfield
MSOA21CD/E02003274	Bury Park
MSOA21CD/E02003281	Belfairs
MSOA21CD/E02003283	Blenheim Park
MSOA21CD/E02003299	Orsett, Bulphan & Hordon-on-the-Hill
MSOA21CD/E02003318	Broomhill
MSOA21CD/E02003353	Binfield & Popeswood
MSOA21CD/E02003357	Bullbrook
MSOA21CD/E02003361	Birch Hill & Hanworth East
MSOA21CD/E02003364	Owlsmoor & Broadmoor
MSOA21CD/E02003375	Theale & Beenham
MSOA21CD/E02003377	Thatcham South East & Bradfield
MSOA21CD/E02003381	Burghfield Common
MSOA21CD/E02003384	Kintbury & Boxford
MSOA21CD/E02003395	Battle & Caversham Bridge
MSOA21CD/E02003407	Britwell
MSOA21CD/E02003410	Baylis & Stoke
MSOA21CD/E02003427	Boyn Hill & Norreys Drive
MSOA21CD/E02003429	Bray Wick & Holyport
MSOA21CD/E02003453	Barkham & Woose Hill
